"Agency name" ,"Email","Phone","Fax","City","State","Country","Zip","Status" 
Agency_april_01,Agency_april_01@wer.com,0,,,Alaska,US,,Approval,
Agency_April_10,Agency_April_10@wer.com,0,,,,US,,Approval,
Agency_April_09,Agency_April_09@wer.com,0,,,,US,,Approval,
Agency_001,Agency_001@qwr.com,0,,,Alaska,US,,Approval,
dimpuag,b3uddha1aravind@gmail.com,0,,,,US,,Approval,
hueee,b6dd7haa1ravind@gmail.com,0,,,,US,,Approval,
lueee,buddhaaravindluee@gmail.com,0,,,,US,,Approval,
AA_310,1prashanth.adkathbail@mediaus.com,0,,,Arizona,US,,Active,
watin,waltair@gmail.com,0,,,Alaska,US,,Active,
Cairs test,cairs@agency.com,0,,,Alaska,US,,Active,
CAIRSSolutions,bzghosh@gmail.com,(123) 456-7898,,Seminole,Florida,US,33772,Active,
Florida666,marktest666@gmail.com,,,,Florida,US,,Active,
agencyabc,agencyabc@test.com,0,,,Idaho,US,,Active,
vsdfsd,vsdfsd@test.com,0,,,American Samoa,US,,Active,
Agency_Apr17,Agency_Apr17@wr.com,0,,,American Samoa,US,,Active,
sdfsdf,sdfsdf@sfd.com,0,,,American Samoa,US,,Approval,
Catholic Charities Greensburg,PFTeam@mediaus.com,(724) 837-1840,(724) 837-4077,Greensburg,Pennsylvania,US,15601,Active,
Agency_April100,305prashanth.adkathbail@mediaus.com,0,,,Arkansas,US,,Active,
Agency_305,5prashanth.adkathbail@mediaus.com,0,,,Alaska,US,,Active,
dimpu,buddhaaravind@gmail.com,0,,,Colorado,US,,Approval,
Alpha01_ag,tester@test.com,0,,,,US,,Approval,
Adoptions inc,lkjashdlkj@gmail.com,0,,,Indiana,US,,Approval,
Agency ,agency@agent.com,0,,,Arizona,US,,Approval,
PF Agency Test01,pf.agency@yahoo.com.com,0,,,Washington,US,,Approval,
Test_Agency_May20,Test_Agency_May20@wer.com,(111) 111-1111,,ghjghjghj,American Samoa,US,23423424,Active,
Test_Agency_June,Test_Agency_June@wer.com,0,,,,US,,Active,
Abcd_Agency,a@a.in,0,,,Arizona,US,,Approval,
Holy Marie,holy@agency.com,0,,,Arizona,US,,Approval,
Test_june_agency10,6660prashanth.adkathbail@mediaus.com,0,,,American Samoa,US,,Approval,
Test_june_agency30,6661prashanth.adkathbail@mediaus.com,0,,,,US,,Approval,
Test_agency_40,6662prashanth.adkathbail@mediaus.com,0,,,,US,,Approval,
Testagency_June,prashanth.adkathbail@mediaus.com,0,,,Alaska,US,,Active,
fghfgh,dfgaaa@qwe.com,0,,,,US,,Approval,
Eswar,eswar@go.in,0,,,Arizona,US,,Approval,
fgdfg222,sdfs@qwe.com,0,,,,US,,Approval,
fgdfggggg,sdfsggg@qwe.com,0,,,,US,,Approval,
fgdfggggggg,sdfsggggg@qwe.com,0,,,Alaska,US,,Approval,
Agency_06,Agency_06@wer.com,0,,,US (not specified),US,,Active,
agent ,agent@cairs.com,0,,,American Samoa,US,,Approval,
eererer,dfgdfgddff@qwe.com,0,,,American Samoa,US,,Approval,
Testagency_501,dfsdeeeee@wer.com,0,,,Alaska,US,,Approval,
dsfeeeee,sdfsdxx@qwe.com,0,,,,US,,Approval,
ggghh,dfdfds@wer.com,0,,,Arizona,US,,Approval,
Test_hhh,Test_hhh@wer.com,0,,,Alaska,US,,Approval,
werwerwerwe,sfsdss@wer.com,0,,,Alaska,US,,Approval,
erwerwerwer,sdfswwww@qe.com,0,,,,US,,Approval,
Nagaraju _ Islavath,eswar517@gmail.com,0,,,Florida,US,,Active,
MediaTest,eswarnimmagadda@mediaus.com,0,,,,US,,Approval,
Catholic Charities Galveston Houston,PFTeam@mediaus.com,(713) 874-6594,(000) 000-0000,,Texas,US,,Active,
Commonwealth Catholic Charities,PFTeam@mediaus.com,(804) 545-5973,(000) 000-0000,Richmond,Virginia,US,23230,Active,
Catholic Charities Madison,PFTeam@mediaus.com,(608) 256-2358,(608) 256-2350,,Wisconsin,US,,Active,
Heart to Home Adoption Agency,PFTeam@mediaus.com,(859) 489-3055,(859) 489-3055,Lexington,Kentucky,US,40511,Active,
Catholic Charities Milwaukee,PFTeam@mediaus.com,(414) 771-2881,(414) 771-6095,Milwaukee,Wisconsin,US,53208,Active,
Christian Social Services of Illinois,1PFTeam@mediaus.com,,, ,Florida,US, 33772,Active,
Adoption by Choice MA / RI,1PFTeam@mediaus.com,,, ,Florida,US, 33772,Active,
Embraced by Grace,PFTeam@mediaus.com,(407) 628-9051,(407) 628-9053,,Florida,US,,Active,
ABL Adoptions IN,PFTeam@mediaus.com,(117) 871-1841,(117) 871-1841,,Indiana,US,,Active,
Martin Pringle Attorneys at Law,PFTeam@mediaus.com,(913) 491-5500,(913) 491-3341,,Kansas,US,,Active,
Stanton Phillips Attorney at Law,PFTeam@mediaus.com,(703) 891-2400,(703) 891-2400,,Virginia,US,,Active,
Amy Eichman - Attorney at Law   . . .       Law Offices of Stanley Brenner ,PFTeam@mediaus.com,(800) 280-6155,(561) 214-4171,Boca Raton,Florida,US,33498,Active,
Catholic Charities of Northern Nevada,PFTeam@mediaus.com,(775) 322-7073,(775) 322-7073,Reno,Nevada,US,89512,Active,
Adoption Choices of Arizona,PFTeam@mediaus.com,(888) 422-9912,(888) 416-9102,Flagstaff,Arizona,US,86001,Active,
Adoption Choices of Colorado,PFTeam@mediaus.com,(303) 670-4401,(877) 451-7741,Evergreen,Colorado,US,80439,Approval,
Adoption Choices of Oklahoma,PFTeam@mediaus.com,(405) 794-7500,(888) 203-6124,Moore,Oklahoma,US,73160,Active,
Adoption Choices of Texas,PFTeam@mediaus.com,(512) 522-2475,(512) 318-2475,Austin,Texas,US,78748,Active,
Adoption Choices of Nevada-Reno,PFTeam@mediaus.com,(775) 825-4673,(877) 735-9426,Reno,Nevada,US,89502,Active,
Catholic Charities of Chicago IL,PFTeam@mediaus.com,(312) 454-1717,(312) 382-1612,Chicago,Illinois,US,60661,Active,
Catholic Charities of St. Cloud MN,PFTeam@mediaus.com,(320) 650-1666,(320) 650-1666,St. Cloud  MN ,Minnesota,US,56301,Active,
Catholic Charities of Winona MN,PFTeam@mediaus.com,(507) 287-2047,(507) 287-2050,Rochester,Minnesota,US,55902,Active,
Law Offices of Karen S. law,PFTeam@mediaus.com,(703) 723-4385,(703) 723-4385,,Virginia,US,,Active,
Catholic Charities of Oklahoma City OK,PFTeam@mediaus.com,(405) 523-3012,(405) 523-3030,,Oklahoma,US,,Active,
Hausmann and Hickman P.A.,PFTeam@mediaus.com,(561) 732-7030,(561) 732-7430,,Florida,US,,Active,
Adopt America,PFTeam@mediaus.com,(305) 358-2445,(305) 433-7817,,Florida,US,,Active,
