"Agency name" ,"Email","Phone","Fax","City","State","Country","Zip","Status" 
Catholic Charities Cleveland,slfay@clevelandcatholiccharities.org,(440) 843-5631,(440) 845-5910,,Ohio,US,,Active,
Catholic Charities Diocese of Toledo,jshakur@toledodiocese.org,(419) 244-6711,(419) 244-6711,,Ohio,US,,Active,
Catholic Charities Oregon,psa@CatholicCharitiesOregon.org,(503) 238-5196,(503) 688-2617,Portland,Oregon,US,97202,Active,
Catholic Charities Tennesse,dthomas@cctenn.org,(615) 636-2320,(615) 352-8591,Nashville,Tennessee,US,37205,Active,
L. Dale Dove,Samantha@dove-barton.com,(803) 327-1910,(803) 327-2216,Rock Hill,South Carolina,US,29730,Active,
Catholic Charities of East Tennessee,sandi@ccetn.org,(865) 776-4510,(865) 330-0169,Knoxville,Tennessee,US,37917,Active,
Catholic Charities Seattle,JimL@ccsww.org,(206) 328-5747,(206) 328-5747,,Washington,US,,Active,
Catholic Charities La Crosse,MBowe@cclse.org,(715) 832-6644,(715) 832-6686,La Crosse  Eau Claire  Wausau  and surrounding communities,Wisconsin,US,,Active,
Catholic Charities Diocese of Green Bay  Wisconsin,tdegrave@gbdioc.org,(920) 272-8234,(920) 437-4067,Green Bay,Wisconsin,US,54301,Active,
Catholic Charities of Pittsburgh,Mbeame@ccpgh.org,(412) 682-4410,(412) 682-4464,Pittsburgh,Pennsylvania,US,15213,Active,
Jennifer Fairfax Adoption & ART Law,jfairfax@jenniferfairfax.com,(301) 221-9651,(240) 491-9551,Silver Spring,Maryland,US,20910,Active,
Catholic Charities Lexington,lhainley@cdlex.org,(859) 317-3358,(859) 255-1134,Lexington,Kentucky,US,40508,Active,
Catholic Charities SouthWestern Ohio,epergrem@catholiccharitiesswo.org,(513) 241-7745,(513) 241-4333,,Ohio,US,,Active,
Adoption Choices of Nevada-Las Vegas,info@adoptionchoicesofnevada.org,(702) 474-4673,(877) 735-9426,Las Vegas,Nevada,US,89145,Active,
Catholic Charities Diocese of Owensboro,Rita.Heinz@pastoral.org,(270) 852-8328,(000) 000-0000,,Kentucky,US,,Active,
Catholic Charities Louisville,mmassie@archlou.org,(502) 637-9786,(000) 000-0000,,Kentucky,US,,Active,
Catholic Charities St Paul and Minneapolis,marsha.mcdonald@cctwincities.org,(651) 647-3103,(000) 000-0000,,Minnesota,US,,Active,
Catholic Charities Harrisburg PA,GPfeifer@cchbg.org,(717) 564-7115,(717) 564-7180,Harrisburg,Pennsylvania,US,17111,Active,
Catholic Social Services Montana,rosemary@cssmt.org,(406) 442-4130,(406) 442-4192,,Montana,US,,Active,
Adoption Star NY,alex@adoptionstar.com,18666913300,(716) 639-3700,,New York,US,,Active,
Catholic Charities Diocese of Charlotte,mlmitchell@charlottediocese.org,(704) 370-3222,(704) 370-3290,Charlotte,North Carolina,US,28203-4003,Active,
Catholic Charities Greensburg,mdaugherty@dioceseofgreensburg.org,(724) 837-1840,(724) 837-4077,Greensburg,Pennsylvania,US,15601,Active,
Catholic Charities Galveston Houston,ckitowski@catholiccharites.org,(713) 874-6594,(000) 000-0000,,Texas,US,,Active,
Commonwealth Catholic Charities,Tami.Hudson@cccofva.org,(804) 545-5973,(000) 000-0000,Richmond,Virginia,US,23230,Active,
Catholic Charities Madison,tgrant@ccmadison.org,(608) 256-2358,(608) 256-2350,,Wisconsin,US,,Active,
Heart to Home Adoption Agency,hearttohomeadopt@gmail.com,(859) 489-3055,(859) 489-3055,Lexington,Kentucky,US,40511,Active,
Catholic Charities Milwaukee,childwelfare@ccmke.org,(414) 771-2881,(414) 771-6095,Milwaukee,Wisconsin,US,53208,Active,
Christian Social Services of Illinois,info@cairsolutions.com,,, ,Florida,US, 33772,Active,
Adoption by Choice MA / RI,info@cairsolutions.com,,, ,Florida,US, 33772,Active,
Embraced by Grace,sgreenberg@embracedbygrace.org,(407) 628-9051,(407) 628-9053,,Florida,US,,Active,
ABL Adoptions IN,laronda@abladoptions.com,(117) 871-1841,(117) 871-1841,,Indiana,US,,Active,
Martin Pringle Attorneys at Law,dklawson@martinpringle.com,(913) 491-5500,(913) 491-3341,,Kansas,US,,Active,
Stanton Phillips Attorney at Law,stan@babylaw.com,(703) 891-2400,(703) 891-2400,,Virginia,US,,Active,
Amy Eichman - Attorney at Law   . . .       Law Offices of Stanley Brenner ,amy@infertilitysolutionslaw.com,(800) 280-6155,(561) 214-4171,Boca Raton,Florida,US,33498,Active,
Catholic Charities of Northern Nevada,adoptions@ccsnn.org,(775) 322-7073,(775) 322-7073,Reno,Nevada,US,89512,Active,
Adoption Choices of Arizona,info@adoptionchoicesofarizona.com,(888) 422-9912,(888) 416-9102,Flagstaff,Arizona,US,86001,Active,
Adoption Choices of Colorado,info@adoptionchoices.org,(303) 670-4401,(877) 451-7741,Evergreen,Colorado,US,80439,Approval,
Adoption Choices of Oklahoma,info@adoptionchoicesofoklahoma.org,(405) 794-7500,(888) 203-6124,Moore,Oklahoma,US,73160,Active,
Adoption Choices of Texas,info@adoptionchoicesoftexas.org,(512) 522-2475,(512) 318-2475,Austin,Texas,US,78748,Active,
Florida Adoption Center LLC,carrie@floridaadoptioncenter.com,(321) 766-5683,(321) 392-4042,,Florida,US,,Active,
testagencysept,test@agencysept.com,0,,,Florida,US,,Active,
Loving Hand Adoptions,amy@lovinghandadoptions.com,0,,,Utah,US,,Active,
Adoption Choices of Nevada-Reno,fsmith@adoptionchoicesofnevada.org,(775) 825-4673,(877) 735-9426,Reno,Nevada,US,89502,Active,
Catholic Charities of Chicago IL,adoptions@catholiccharities.net,(312) 454-1717,(312) 382-1612,Chicago,Illinois,US,60661,Active,
Catholic Charities of St. Cloud MN,mbulson@ccstcloud.org,(320) 650-1666,(320) 650-1666,St. Cloud  MN ,Minnesota,US,56301,Active,
Catholic Charities of Winona MN,info@ccwinona.org,(507) 287-2047,(507) 287-2050,Rochester,Minnesota,US,55902,Active,
Law Offices of Karen S. law,klaw@lawadoption.com,(703) 723-4385,(703) 723-4385,,Virginia,US,,Active,
Catholic Charities of Oklahoma City OK,klee@catholiccharitiesok.org,(405) 523-3012,(405) 523-3030,,Oklahoma,US,,Active,
Hausmann and Hickman P.A.,adoption@adoptionandsurrogacy.com,(561) 732-7030,(561) 732-7430,,Florida,US,,Active,
Adopt America,candace@adoptamerica411.com,(305) 358-2445,(305) 433-7817,,Florida,US,,Active,
